"","study","task","participantID","Interview","text","Int","Ext","totalDetails","sentence","numInt_sentence","numExt_sentence","numTotal_sentence","Type","sentenceWordCount"
"11","Study_1","Memory",2,1,"I remember laying on the sand. I had a cold beer next to me. The sky was light blue. I saw no clouds. I hear the sound of the ice cream truck coming by. I am happy. My brother is sitting next to me. We are chatting. We pull out some sandwiches and eat them. I wish my days now were as carefree as they were then.",13,1,14," I am happy. ",1,0,1,"internal",3
"12","Study_1","Memory",2,1,"I remember laying on the sand. I had a cold beer next to me. The sky was light blue. I saw no clouds. I hear the sound of the ice cream truck coming by. I am happy. My brother is sitting next to me. We are chatting. We pull out some sandwiches and eat them. I wish my days now were as carefree as they were then.",13,1,14,"My brother is sitting next to me.",2,0,2,"internal",7
"13","Study_1","Memory",2,1,"I remember laying on the sand. I had a cold beer next to me. The sky was light blue. I saw no clouds. I hear the sound of the ice cream truck coming by. I am happy. My brother is sitting next to me. We are chatting. We pull out some sandwiches and eat them. I wish my days now were as carefree as they were then.",13,1,14," We are chatting. ",1,0,1,"internal",3
"14","Study_1","Memory",2,1,"I remember laying on the sand. I had a cold beer next to me. The sky was light blue. I saw no clouds. I hear the sound of the ice cream truck coming by. I am happy. My brother is sitting next to me. We are chatting. We pull out some sandwiches and eat them. I wish my days now were as carefree as they were then.",13,1,14,"We pull out some sandwiches and eat them.",2,0,2,"internal",8
"15","Study_1","Memory",2,1,"I remember laying on the sand. I had a cold beer next to me. The sky was light blue. I saw no clouds. I hear the sound of the ice cream truck coming by. I am happy. My brother is sitting next to me. We are chatting. We pull out some sandwiches and eat them. I wish my days now were as carefree as they were then.",13,1,14," I wish my days now were as carefree as they were then.",0,1,1,"external",12
"16","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15,"We're at the King's Island amusement park. ",1,0,1,"internal",9
"17","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15,"I remember we were standing in line to get in, and we're probably early because that's what we always do. ",1,1,2,"mixed",22
"18","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15,"We get in and run to the big drop coaster. ",2,0,2,"internal",10
"19","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15,"The big drop is one of the park's biggest draws.",0,1,1,"external",11
"20","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15," At the top, I feel terrified. ",2,0,2,"internal",6
"21","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15,"We drop and my stomach feels like its coming up.  ",3,0,3,"internal",10
"22","Study_2","Memory",1,1,"We're at the King's Island amusement park. I remember we were standing in line to get in, and we're probably early because that's what we always do. We get in and run to the big drop coaster. The big drop is one of the park's biggest draws. At the top, I feel terrified. We drop and my stomach feels like its coming up.  I feel terrified, but exhilarated, screaming, laughing. ",12,3,15,"I feel terrified, but exhilarated, screaming, laughing. ",3,1,4,"mixed",7
